id,name,description,price,size,images
00000001,Rýchly a účinný odstraňovač krvi 10ml,"Aima, pohotovostný odstraňovač krvi, je praktický produkt navrhnutý na rýchle a efektívne odstránenie krvavých škvŕn z oblečenia už do pár sekúnd. Vďaka svojej kompaktnej veľkosti sa pohodlne zmestí do každej kabelky či vrecka. Prináša istotu a sebadôveru, aby ste si mohli užívať deň bez starostí.",9.990,10ml,"1.webp,2.webp,3.webp"
00000002,Valentínska edícia rýchly a účinný odstraňovač krvi 10ml,"Aima, pohotovostný odstraňovač krvi, je praktický produkt navrhnutý na rýchle a efektívne odstránenie krvavých škvŕn z oblečenia už do pár sekúnd. Vďaka svojej kompaktnej veľkosti sa pohodlne zmestí do každej kabelky či vrecka. Prináša istotu a sebadôveru, aby ste si mohli užívať deň bez starostí.",6.490,10ml,"1.webp,2.webp,3.webp"
